V1,count,lat,lon
eesti,618,58.595272,25.013607
rootsi,225,60.128161,18.643501
tallinn,204,59.4369608,24.7535746
usa,104,37.09024,-95.712891
tartu,98,58.377983,26.7290383
moskva,88,55.755826,37.6173
eesti vabariik,82,58.595272,25.013607
stockholm,76,59.3293235,18.0685808
soome,60,61.92411,25.748151
euroopa,58,54.5259614,15.2551187
venemaa,53,61.52401,105.318756
leedu,49,55.169438,23.881275
läti,42,56.879635,24.603189
saksamaa,42,51.165691,10.451526
balti riik,40,NA,NA
baltikum,40,NA,NA
kanada,37,56.130366,-106.346771
new york,31,40.7127753,-74.0059728
pärnu,29,58.3916898,24.4952895
nõukogu liit,28,NA,NA
narva,26,59.3796931,28.179075
toronto,24,43.653226,-79.3831843
poola,22,51.919438,19.145136
eskilstuna,20,59.3712486,16.5098045
vene,20,NA,NA
ukraina,17,48.379433,31.16558
virumaa,17,NA,NA
haapsalu,16,58.9393226,23.5412139
riia,16,56.9676941,24.1056221
saaremaa,16,58.4849721,22.6136407
helsingi,15,60.1698557,24.938379
taani,15,56.26392,9.501785
uppsala,15,59.8585638,17.6389267
araal meri,14,NA,NA
ameerika,13,37.09024,-95.712891
göteborg,13,57.70887,11.97456
n liit,13,NA,NA
stokholmis,13,59.3293235,18.0685808
leningrad,12,59.9310584,30.3609097
norra,12,NA,NA
vilnius,12,54.6871555,25.2796514
inglismaa,11,52.3555177,-1.1743197
rakvere,11,59.3470847,26.3593036
hiiumaa,10,58.9239553,22.5919468
nõukogu,10,NA,NA
la,9,34.0549076,-118.242643
läänemeri,9,58.487952,19.863281
norrköping,9,58.587745,16.192421
prantsusmaa,9,46.227638,2.213749
siber,9,NA,NA
viljandi,9,58.363476,25.5859691
washington,9,38.9071923,-77.0368707
gävle,8,60.6748796,17.1412726
austraalia,7,-25.274398,133.775136
kirde-eesti,7,58.595272,25.013607
kuuba,7,21.521757,-77.781167
lääs,7,NA,NA
norilsk,7,69.35579,88.18929380000002
eesti maja,6,58.595272,25.013607
eestimaa,6,NA,NA
ida-euroopa,6,52.0055148,37.9587494
itaalia,6,41.87194,12.56738
nliit,6,NA,NA
rostock,6,54.0924406,12.0991466
ungari,6,47.162494,19.503304
võru,6,57.8425017,27.0059657
aasia,5,NA,NA
afganistan,5,33.93911,67.709953
balti,5,NA,NA
berliin,5,52.5200066,13.404954
puhap,5,,
põhjala,5,NA,NA
vene föderatsioon,5,61.52401,105.318756
võrumaa,5,57.7377372,27.1398938
ühendriik,5,NA,NA
,4,NA,NA
emajõgi,4,58.3983853417279,26.6763733180296
hamburg,4,53.5488282,9.9871703
imastu,4,59.2793439,26.0164186
jaapan,4,36.204824,138.252924
jõgeva,4,58.7425969,26.3877205
karula,4,57.7617963,26.3335441
kiel,4,54.3232927,10.1227652
kohtla-järve,4,59.3973326,27.279987
rapla,4,59.0000543,24.8048628
sinimägi,4,NA,NA
skandinaavia,4,62.2786475,12.3401708
vaikne ookean,4,-8.783195,-124.508523
valga,4,57.7814568,26.0550403
välis-eesti,4,58.595272,25.013607
york,4,53.9614205,-1.0739108
aafrika,3,-8.783195,34.508523
alaska,3,63.588753,-154.4930619
albaania,3,41.153332,20.168331
amudarja,3,40.5858240464719,63.70544418179
araal,3,10.4164564,123.0648331
austria,3,47.516231,14.550072
belgia,3,50.503887,4.469936
bering,3,,
brasiilia,3,-14.235004,-51.92528
bulgaaria,3,42.733883,25.48583
eesti kodu,3,58.818432,25.2108122
fäär saar,3,NA,NA
gruusia,3,42.315407,43.356892
harjumaa,3,59.3334239,25.2466973
hiina,3,35.86166,104.195397
ida-viru maakond,3,59.2592663,27.4136535
ikla,3,57.8847185,24.4219522
island,3,64.963051,-19.020835
järvamaa,3,58.8866713,25.5000625
kaspia meri,3,41.934977,50.668945
kopenhaagen,3,55.6760968,12.5683371
läti ja leedu,3,55.169438,23.881275
läänemeremaa,3,NA,NA
marshall,3,NA,NA
montreal,3,45.5018869,-73.5673919
munka-ljungby,3,56.2573385,12.9704446
nliidus,3,,
pai,3,NA,NA
palmse,3,59.51441899999999,25.9446553
pamiir,3,39,72
pariis,3,48.856614,2.3522219
pirita,3,59.4730229,24.8657758
prantsuse,3,46.227638,2.213749
pärnumaa,3,58.5261952,24.4020159
põhjamaa,3,NA,NA
ruhnu,3,57.805148,23.2460512
