V1,count,lat,lon
tallinn,204,59.4369608,24.7535746
tartu,98,58.377983,26.7290383
pärnu,29,58.3916898,24.4952895
narva,26,59.3796931,28.179075
haapsalu,16,58.9393226,23.5412139
saaremaa,16,58.4849721,22.6136407
rakvere,11,59.3470847,26.3593036
hiiumaa,10,58.9239553,22.5919468
viljandi,9,58.363476,25.5859691
võru,6,57.8425017,27.0059657
võrumaa,5,57.7377372,27.1398938
emajõgi,4,58.3983853417279,26.6763733180296
imastu,4,59.2793439,26.0164186
jõgeva,4,58.7425969,26.3877205
karula,4,57.7617963,26.3335441
kohtla-järve,4,59.3973326,27.279987
rapla,4,59.0000543,24.8048628
valga,4,57.7814568,26.0550403
harjumaa,3,59.3334239,25.2466973
ida-viru maakond,3,59.2592663,27.4136535
ikla,3,57.8847185,24.4219522
järvamaa,3,58.8866713,25.5000625
palmse,3,59.51441899999999,25.9446553
pirita,3,59.4730229,24.8657758
pärnumaa,3,58.5261952,24.4020159
ruhnu,3,57.805148,23.2460512
udria,3,59.3877284,27.9149282
vändra,3,58.6562255,25.033707
audru,2,58.4146092,24.3218542
estonia,2,58.595272,25.013607
haapsalu laht,2,58.9888805,23.5845975
koitjärv,2,59.3835747,25.6429573
kuressaare,2,58.2549526,22.4918977
kärdla,2,58.9987098,22.7411776
lahemaa,2,59.5676617,25.7810189
otepää,2,58.0602521,26.4969264
palamuse,2,58.6843881,26.5833742
peipsi,2,58.6521982,27.456452
porkuni,2,59.1888156,26.2068972
põlva,2,58.067018,27.0738741
ruhnu saar,2,57.805148,23.2460512
sillamäe,2,59.3995308,27.748088
tartu linn ja maakond,2,58.377983,26.7290383
tartumaa,2,58.4057128,26.8015761
torgu vald,2,57.9777998,22.1050324
valgamaa,2,57.9103441,26.1601819
valgerand,2,58.3899654,24.3686261
viljandi maakond,2,58.363476,25.5859691
võnnu,2,58.2847579,27.0492617
võru maakond,2,57.7377372,27.1398938
aaspere vald,1,59.425825,26.1272291
antsla,1,57.8291089,26.5283437
avinurme,1,58.9877246,26.8672142
h aasmäe,1,59.2379145,24.5391024
haapsalu laht es,1,58.9888805,23.5845975
harju-madis,1,59.2821907,24.131277
helsingi-tallinn,1,59.4369608,24.7535746
iisaku,1,59.105327,27.3098157
järva maakond,1,58.8866713,25.5000625
jõgeta maakond,1,58.7970409,26.5976631
jõgeva maakond,1,58.7970409,26.5976631
kadrina,1,59.339128,26.1414751
kadriorg,1,59.4366577,24.7871064
kalana,1,58.92573840000001,22.082951
kassari,1,58.8002483,22.8349306
kavastu küla,1,58.3874575,27.0860636
kehra,1,59.3339294,25.3323964
keila,1,59.3108007,24.4157526
kiltsi,1,59.08820439999999,26.1788797
kirjastuste liit,1,59.4314607,24.7436779
klooga,1,59.31181,24.2294907
kohtla-järv ja narva,1,59.3796931,28.179075
kohtla-järve ja sillamäe,1,59.3973326,27.279987
kohtla-järve linn,1,59.3973326,27.279987
kohtla-järvelt,1,59.4061559,27.309398
kungla,1,58.3582555,22.9359729
kurgja,1,58.6632324,25.2496477
kärdla ja kõrgessaar,1,58.9987098,22.7411776
kärstna,1,58.1513527,25.7993659
laekvere,1,59.0730478,26.5667371
laimjala,1,58.4264814,22.9980524
leetsi,1,58.41739990000001,26.5159
