V1	count
eesti	618
rootsi	225
tallinn	204
usa	104
tartu	98
moskva	88
eesti vabariik	82
stockholm	76
soome	60
euroopa	58
venemaa	53
leedu	49
läti	42
saksamaa	42
balti riik	40
baltikum	40
kanada	37
new york	31
pärnu	29
nõukogu liit	28
narva	26
toronto	24
poola	22
eskilstuna	20
vene	20
ukraina	17
virumaa	17
haapsalu	16
riia	16
saaremaa	16
helsingi	15
taani	15
uppsala	15
araal meri	14
ameerika	13
göteborg	13
n liit	13
stokholmis	13
leningrad	12
norra	12
vilnius	12
inglismaa	11
rakvere	11
hiiumaa	10
nõukogu	10
la	9
läänemeri	9
norrköping	9
prantsusmaa	9
siber	9
viljandi	9
washington	9
gävle	8
austraalia	7
kirde-eesti	7
kuuba	7
lääs	7
norilsk	7
eesti maja	6
eestimaa	6
ida-euroopa	6
itaalia	6
nliit	6
rostock	6
ungari	6
võru	6
aasia	5
afganistan	5
balti	5
berliin	5
puhap	5
põhjala	5
vene föderatsioon	5
võrumaa	5
ühendriik	5
	4
emajõgi	4
hamburg	4
imastu	4
jaapan	4
jõgeva	4
karula	4
kiel	4
kohtla-järve	4
rapla	4
sinimägi	4
skandinaavia	4
vaikne ookean	4
valga	4
välis-eesti	4
york	4
aafrika	3
alaska	3
albaania	3
amudarja	3
araal	3
austria	3
belgia	3
bering	3
brasiilia	3
bulgaaria	3
eesti kodu	3
fäär saar	3
gruusia	3
harjumaa	3
hiina	3
ida-viru maakond	3
ikla	3
island	3
järvamaa	3
kaspia meri	3
kopenhaagen	3
läti ja leedu	3
läänemeremaa	3
marshall	3
montreal	3
munka-ljungby	3
nliidus	3
pai	3
palmse	3
pamiir	3
pariis	3
pirita	3
prantsuse	3
pärnumaa	3
põhjamaa	3
ruhnu	3
sigtuna	3
sverdlovsk	3
tallinnat	3
turu	3
tšehhoslovakkia	3
udria	3
varssavi	3
viru	3
vändra	3
ahvenamaa	2
akali	2
alberta	2
altai	2
ameerika ühendriik	2
ara	2
atlandi ookean	2
audru	2
bait riik	2
bonn	2
briti	2
brüssel	2
castro	2
dalarna	2
e maja	2
eelk eskilstuna	2
eesti nsv	2
egiptus	2
estonia	2
finland	2
gotland	2
h rajamaa	2
haapsalu laht	2
hamilton	2
himaalaja	2
hispaania	2
i stockholm	2
ilt	2
jevgenia	2
jugoslaavia	2
karakum	2
kesk-aasia	2
kiiev	2
kirdeeesti	2
klarabergsviadukten	2
koitjärv	2
kroaatia	2
kunda	2
kuramaa	2
kuressaare	2
kvibergi	2
kärdla	2
lahemaa	2
lati	2
lauljate liit	2
leedu vabariik	2
leedu-valgevene	2
london	2
lund	2
lääs maakond	2
lääs-viru	2
maas	2
malmö	2
minneapolis	2
moskva n liit	2
ms	2
norden	2
